"Name","ResourceGroupName","Location","OsType","DiskSizeGB"
"LinuxOMS01VM_OsDisk_1_e620134c09fc4c108caf32b337751826","VA-AGILEDEVOPS-EAST-RG","usgovarizona","Linux","30"
"DC1_disk2_1ef6b4e9d80a4e55966886c47fab1e24","VA-AGILEDEVOPS-EAST-RG","usgovvirginia",,"1023"
"DC1_OsDisk_1_eda29ee1d17546979b1f9a6e279b0593","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Windows","127"
"DC2_disk2_d5dbf46b85f9440ca7ccc2632daabd72","VA-AGILEDEVOPS-EAST-RG","usgovvirginia",,"1023"
"DC2_OsDisk_1_af7305a3e4b34334ba4c813ab003a666","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Windows","127"
"LinuxOMS01VM_OsDisk_1_2412eea45deb477198b8f6af68c16952","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Linux","30"
"LinuxOMS02VM_OsDisk_1_56dfc06250e44a7597bae4b9d6e6d938","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Linux","32"
"LinuxOMS2VM_OsDisk_1_d47a642ce964435e83346e4fc8f19142","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Linux","30"
"LinuxOMSVM_OsDisk_1_862d6667ef05491aab8279277f113876","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Linux","32"
"RDGateway_OsDisk_1_87aca58a10454a1880e4de1017ea97fb","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Windows","127"
"RDGateway_OsDisk_1_d59c3b2f96084dfbb3c0dd497bd998f7","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Windows","127"
"tfs_OsDisk_1_4e535dd479fa4df79795ded979a82583","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Windows","127"
"Tools01_OsDisk_1_748fe710a54647bf8fa1866b64aa8d26","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Windows","127"
"Tools02_OsDisk_1_e4c345ae35a441318fb447e58f1bcc76","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Windows","127"
"Tools03_OsDisk_1_f89c0cf1a57a441d9506fe288afb5960","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Windows","127"
"Tools04_OsDisk_1_54e443ad98d643c28f05e94ccd9b44ef","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Windows","127"
"Tools05_OsDisk_1_b06f04b78e2e4e4eaee6daca1211df60","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Windows","127"
"Tools06_OsDisk_1_14d16507fac44b77b6169bc28e126a6a","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Windows","127"
"vac30gatveo801_OsDisk_1_a50ca0ebeec64cb4afcc1d7f2e3e11c8","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Windows","127"
"WindowsOMSVM_OsDisk_1_f8af198c079d4f3a97b5fdd4c4da66f1","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Windows","127"
"ConnTestVM_OsDisk_1_d91d83aca84543f19d159c3e0666302b","VA-AGILEDEVOPS-RAFFE-RG","usgovarizona","Windows","127"
